"nuts","year","risk_pct"
"AT11",2009,NA
"AT12",2009,NA
"AT13",2009,NA
"AT21",2009,NA
"AT22",2009,NA
"AT31",2009,NA
"AT32",2009,NA
"AT33",2009,NA
"AT34",2009,NA
"BE",2009,20.2
"BG",2009,46.2
"BG3",2009,50.3
"BG31",2009,53
"BG32",2009,56.3
"BG33",2009,45
"BG34",2009,47.8
"BG4",2009,41.7
"BG41",2009,33.8
"BG42",2009,52.5
"CH",2009,17.9
"CH01",2009,17.8
"CH02",2009,21.8
"CH03",2009,17.3
"CH04",2009,14.6
"CH05",2009,17
"CH06",2009,14.3
"CH07",2009,24.6
"CY",2009,23.5
"CZ",2009,14
"CZ01",2009,10
"CZ02",2009,11.1
"CZ03",2009,12.6
"CZ04",2009,19.6
"CZ05",2009,12.2
"CZ06",2009,12.9
"CZ07",2009,16.1
"CZ08",2009,18.6
"DE",2009,20
"DE11",2009,NA
"DE12",2009,NA
"DE13",2009,NA
"DE14",2009,NA
"DE21",2009,NA
"DE22",2009,NA
"DE23",2009,NA
"DE24",2009,NA
"DE25",2009,NA
"DE26",2009,NA
"DE27",2009,NA
"DE30",2009,NA
"DE40",2009,NA
"DE50",2009,NA
"DE60",2009,NA
"DE71",2009,NA
"DE72",2009,NA
"DE73",2009,NA
"DE80",2009,NA
"DE91",2009,NA
"DE92",2009,NA
"DE93",2009,NA
"DE94",2009,NA
"DEA1",2009,NA
"DEA2",2009,NA
"DEA3",2009,NA
"DEA4",2009,NA
"DEA5",2009,NA
"DEB1",2009,NA
"DEB2",2009,NA
"DEB3",2009,NA
"DEC0",2009,NA
"DED2",2009,NA
"DED4",2009,NA
"DED5",2009,NA
"DEE0",2009,NA
"DEF0",2009,NA
"DEG0",2009,NA
"DK",2009,17.6
"DK01",2009,18.7
"DK02",2009,13.4
"DK03",2009,18.1
"DK04",2009,18.1
"DK05",2009,18.1
"EE",2009,23.4
"EL",2009,27.6
"EL3",2009,21.2
"EL4",2009,26.6
"EL5",2009,33.6
"EL6",2009,31.4
"ES",2009,24.7
"ES1",2009,22.2
"ES11",2009,24.6
"ES12",2009,18.8
"ES13",2009,17.3
"ES2",2009,13.9
"ES21",2009,14.8
"ES22",2009,10.4
"ES23",2009,19.5
"ES24",2009,12.6
"ES3",2009,19.6
"ES30",2009,19.6
"ES4",2009,27
"ES41",2009,22.1
"ES42",2009,28.6
"ES43",2009,35.4
"ES5",2009,22.2
"ES51",2009,19
"ES52",2009,26.5
"ES53",2009,24.3
"ES6",2009,33.4
"ES61",2009,33.3
"ES62",2009,33.3
"ES63",2009,37.3
"ES64",2009,33.9
"ES7",2009,38.2
"ES70",2009,38.2
"FI",2009,16.9
"FI1",2009,17
"FI13",2009,NA
"FI18",2009,NA
"FI19_20",2009,17.8
"FI1A",2009,NA
"FI1B",2009,11.7
"FI1C",2009,18.6
"FI1D",2009,20.2
"FI2",2009,4.5
"FR",2009,18.5
"HR",2009,NA
"HR03",2009,NA
"HR04",2009,NA
"HU",2009,29.6
"HU1",2009,24.6
"HU10",2009,24.6
"HU11",2009,NA
"HU12",2009,NA
"HU2",2009,26.7
"HU21",2009,26.1
"HU22",2009,21.4
"HU23",2009,32.8
"HU3",2009,35.3
"HU31",2009,37.1
"HU32",2009,35.9
"HU33",2009,32.8
"IE",2009,25.7
"IE01",2009,31
"IE02",2009,23.8
"IS",2009,11.6
"IT",2009,24.9
"ITC",2009,15.7
"ITC1",2009,16.8
"ITC2",2009,12.1
"ITC3",2009,15.8
"ITC4",2009,15.3
"ITF",2009,39.7
"ITF1",2009,27.2
"ITF2",2009,33.7
"ITF3",2009,44
"ITF4",2009,36.4
"ITF5",2009,41.7
"ITF6",2009,42.9
"ITG",2009,43.8
"ITG1",2009,48.2
"ITG2",2009,30.5
"ITH",2009,14.4
"ITH1",2009,11.9
"ITH2",2009,10.1
"ITH3",2009,14.6
"ITH4",2009,16.7
"ITH5",2009,14.3
"ITI",2009,18.5
"ITI1",2009,14.9
"ITI2",2009,17.1
"ITI3",2009,16.3
"ITI4",2009,21.9
"LT",2009,29.6
"LU",2009,17.8
"LV",2009,37.9
"MK",2009,NA
"MT",2009,20.3
"NL",2009,15.1
"NL1",2009,NA
"NL11",2009,NA
"NL12",2009,NA
"NL13",2009,NA
"NL2",2009,NA
"NL21",2009,NA
"NL22",2009,NA
"NL23",2009,NA
"NL3",2009,NA
"NL31",2009,NA
"NL32",2009,NA
"NL33",2009,NA
"NL34",2009,NA
"NL4",2009,NA
"NL41",2009,NA
"NL42",2009,NA
"NO",2009,15.2
"NO01",2009,16.8
"NO02",2009,14.3
"NO03",2009,15
"NO04",2009,14.5
"NO05",2009,13.7
"NO06",2009,15.6
"NO07",2009,16.1
"PL",2009,27.8
"PL1",2009,NA
"PL2",2009,NA
"PL3",2009,NA
"PL4",2009,NA
"PL5",2009,NA
"PL6",2009,NA
"PT",2009,24.9
"RO",2009,43
"RO1",2009,34.8
"RO11",2009,36.2
"RO12",2009,33.3
"RO2",2009,48.4
"RO21",2009,52.9
"RO22",2009,42.6
"RO3",2009,44.6
"RO31",2009,47.6
"RO32",2009,40.3
"RO4",2009,43.2
"RO41",2009,53.2
"RO42",2009,31.8
"RS",2009,NA
"SE",2009,17.8
"SE1",2009,16.3
"SE11",2009,15
"SE12",2009,17.9
"SE2",2009,18.2
"SE21",2009,17.9
"SE22",2009,20.2
"SE23",2009,16.8
"SE3",2009,20
"SE31",2009,19.4
"SE32",2009,17.7
"SE33",2009,22.8
"SI",2009,17.1
"SI01",2009,20.3
"SI02",2009,13.6
"SK",2009,19.6
"SK01",2009,13
"SK02",2009,19.4
"SK03",2009,19.3
"SK04",2009,22.7
"TR",2009,63.9
"UK",2009,22
"AT",2010,18.9
"AT11",2010,NA
"AT12",2010,NA
"AT13",2010,NA
"AT21",2010,NA
"AT22",2010,NA
"AT31",2010,NA
"AT32",2010,NA
"AT33",2010,NA
"AT34",2010,NA
"BE",2010,20.8
"BG",2010,49.2
"BG3",2010,53.8
"BG31",2010,53.3
"BG32",2010,58.7
"BG33",2010,52.7
"BG34",2010,51.1
"BG4",2010,44.2
"BG41",2010,36.9
"BG42",2010,54.3
"CH",2010,17.2
"CH01",2010,20
"CH02",2010,21.3
"CH03",2010,11.9
"CH04",2010,12.2
"CH05",2010,16.1
"CH06",2010,15.7
"CH07",2010,26.8
"CY",2010,24.6
"CZ",2010,14.4
"CZ01",2010,7.1
"CZ02",2010,12.4
"CZ03",2010,13.6
"CZ04",2010,21.3
"CZ05",2010,11.4
"CZ06",2010,15
"CZ07",2010,16.3
"CZ08",2010,18.9
"DE",2010,19.7
"DE11",2010,NA
"DE12",2010,NA
"DE13",2010,NA
"DE14",2010,NA
"DE21",2010,NA
"DE22",2010,NA
"DE23",2010,NA
"DE24",2010,NA
"DE25",2010,NA
"DE26",2010,NA
"DE27",2010,NA
"DE30",2010,NA
"DE40",2010,NA
"DE50",2010,NA
"DE60",2010,NA
"DE71",2010,NA
"DE72",2010,NA
"DE73",2010,NA
"DE80",2010,NA
"DE91",2010,NA
"DE92",2010,NA
"DE93",2010,NA
"DE94",2010,NA
"DEA1",2010,NA
"DEA2",2010,NA
"DEA3",2010,NA
"DEA4",2010,NA
"DEA5",2010,NA
"DEB1",2010,NA
"DEB2",2010,NA
"DEB3",2010,NA
"DEC0",2010,NA
"DED2",2010,NA
"DED4",2010,NA
"DED5",2010,NA
"DEE0",2010,NA
"DEF0",2010,NA
"DEG0",2010,NA
"DK",2010,18.3
"DK01",2010,20
"DK02",2010,16
"DK03",2010,16.9
"DK04",2010,19.7
"DK05",2010,17.2
"EE",2010,21.7
"EL",2010,27.7
"EL3",2010,23.1
"EL4",2010,23.9
"EL5",2010,32.2
"EL6",2010,32
"ES",2010,26.1
"ES1",2010,21.2
"ES11",2010,22.7
"ES12",2010,16.5
"ES13",2010,22.5
"ES2",2010,17.1
"ES21",2010,16.3
"ES22",2010,13.8
"ES23",2010,27.3
"ES24",2010,17.5
"ES3",2010,19.3
"ES30",2010,19.3
"ES4",2010,30.1
"ES41",2010,23.8
"ES42",2010,32.3
"ES43",2010,40.3
"ES5",2010,23.9
"ES51",2010,19.8
"ES52",2010,29.6
"ES53",2010,26
"ES6",2010,35.4
"ES61",2010,35
"ES62",2010,37.5
"ES63",2010,35.9
"ES64",2010,35.4
"ES7",2010,35.7
"ES70",2010,35.7
"FI",2010,16.9
"FI1",2010,16.9
"FI13",2010,NA
"FI18",2010,NA
"FI19_20",2010,16.6
"FI1A",2010,NA
"FI1B",2010,13.9
"FI1C",2010,18
"FI1D",2010,19.5
"FI2",2010,9.1
"FR",2010,19.2
"HR",2010,31.1
"HR03",2010,NA
"HR04",2010,NA
"HU",2010,29.9
"HU1",2010,25.4
"HU10",2010,25.4
"HU11",2010,NA
"HU12",2010,NA
"HU2",2010,25.3
"HU21",2010,26.8
"HU22",2010,19.4
"HU23",2010,29.7
"HU3",2010,36.6
"HU31",2010,39.2
"HU32",2010,38.1
"HU33",2010,32.4
"IE",2010,27.3
"IE01",2010,28.8
"IE02",2010,26.7
"IS",2010,13.7
"IT",2010,25
"ITC",2010,16.2
"ITC1",2010,18.2
"ITC2",2010,14.5
"ITC3",2010,16.4
"ITC4",2010,15.2
"ITF",2010,39.7
"ITF1",2010,27.4
"ITF2",2010,32
"ITF3",2010,45.1
"ITF4",2010,36.3
"ITF5",2010,35.2
"ITF6",2010,41.5
"ITG",2010,42.2
"ITG1",2010,47.4
"ITG2",2010,26.2
"ITH",2010,14.2
"ITH1",2010,10.6
"ITH2",2010,10.8
"ITH3",2010,16.1
"ITH4",2010,14.6
"ITH5",2010,12.7
"ITI",2010,19.9
"ITI1",2010,17.5
"ITI2",2010,17.7
"ITI3",2010,18.4
"ITI4",2010,22.4
"LT",2010,34
"LU",2010,17.1
"LV",2010,38.2
"MK",2010,NA
"MT",2010,21.2
"NL",2010,15.1
"NL1",2010,NA
"NL11",2010,NA
"NL12",2010,NA
"NL13",2010,NA
"NL2",2010,NA
"NL21",2010,NA
"NL22",2010,NA
"NL23",2010,NA
"NL3",2010,NA
"NL31",2010,NA
"NL32",2010,NA
"NL33",2010,NA
