PLANNAME,EW2016,STATUS1,STATUS2,STATUS3,STATUS4,DYNAMO1,DYNAMO2,DYNAMO3,DYNAMO4
Schulenburgpark,9489,15.9,5.88,43.85,77.08,-0.12,0.2,-1.61,-0.69
Gewerbegebiet Köllnische Heide,502,8.7,3.07,23.51,52.05,-2.34,0.47,7.06,22.43
Buschkrugallee Nord,10947,11.37,3.41,25.84,52.95,2.03,0.31,0.31,1.5
Tempelhofer Weg,9286,9.52,3.16,22.55,56.45,-0.29,-0.27,-0.44,-3.3
Mohriner Allee Nord,2322,1.8,0,2.24,6.02,-0.46,-0.58,0.08,-0.1
Parchimer Allee,14255,6.83,2.15,14.6,33.16,-0.63,0.02,-0.16,-0.97
Ortolanweg,1289,8.03,2.04,15.98,51.52,1.33,0.46,-0.16,4.36
Britzer Garten,1265,5.19,1.36,8.46,13.94,-2.05,-1.14,-1.96,-8.48
Handwerker-Siedlung,3337,6.83,2.1,10.04,19.61,-0.83,-0.41,-0.59,-0.78
Buckow West,8344,4.65,1.31,7.39,19.87,0.01,-0.01,-1.06,-1.24
Buckow Mitte,11651,5.76,1.65,11.67,30.84,-0.08,-0.08,1.24,1.24
Buckow Ost,8444,8.6,2.4,19.27,49.14,0.06,-0.19,0.32,1.41
Gropiusstadt Nord,12454,9.85,3.49,25.37,60.13,-0.54,0.13,-0.49,-3.93
Gropiusstadt Süd,7321,8.99,3.32,17.37,54.75,0.15,0.34,-0.56,-1.44
Gropiusstadt Ost,17099,10.05,3.21,23.6,53.18,-0.25,-0.46,-0.36,0.72
Goldhähnchenweg,2879,6.02,2.32,15.7,42.44,-0.07,-0.12,1.45,5.48
Vogelviertel Süd,4129,4.66,1.66,8.16,22.53,-0.51,0.08,-0.59,-0.62
Vogelviertel Nord,2688,5.97,2.03,11.57,26.81,2.19,0.73,1.29,3.01
Blumenviertel,8103,3.77,0.95,5.08,14.14,-0.09,-0.26,0.9,3
Zittauer Straße,6765,2.92,0.99,3.78,10.24,-0.43,0.27,-0.11,1.48
Alt-Rudow,9682,4.91,1.47,10.55,30.79,-0.62,-0.37,0.92,1.09
Waßmannsdorfer Chaussee,6913,3.55,1.07,4.69,10.94,0.12,-0.06,0.17,-0.03
Frauenviertel,3858,3.32,0.66,10.32,22.33,-1.62,-0.93,-2.92,-6.87
Waltersdorfer Chaussee Ost,7987,4.32,1.35,9,21.99,-0.08,0.02,-0.52,-0.75
Elsenstraße,11934,6.89,2.51,11.28,20.47,-1.88,-0.91,-1.79,-6.37
Am Treptower Park Nord,70,,,,,,,,
Am Treptower Park Süd,4319,4.38,1.67,6.37,11.17,-0.66,-0.21,0.18,1.17
Köpenicker Landstraße,6823,7.19,2.74,10.42,31.03,-2.94,-1.18,-0.1,-3.35
Baumschulenstraße,15387,5.88,2.17,9.06,24.63,-1.8,-0.45,-0.39,-4.62
Späthsfelde,2906,2.49,1.09,2.72,7.56,-0.42,0,0.44,2.54
Johannisthal West,8203,5.19,1.79,6.84,20.84,-1.13,-0.82,0.34,-1.06
Johannisthal Ost,11480,4.63,1.74,7.77,14.89,-0.67,-0.25,-0.18,-0.22
Oberschöneweide West,6683,10.08,4.03,19.63,43.27,-3.05,-1.2,1.44,0.59
Oberschöneweide Ost,14865,7.96,3.14,14.38,31.43,-0.86,-0.64,0.45,0.76
Schnellerstraße,7658,6.75,2.36,13.16,33.3,-1.8,-0.26,0.64,-0.63
Oberspree,3512,5.38,2.09,8.34,20.2,0.02,-0.13,2.02,-1.25
Adlershof West,1259,1.87,0.47,2.22,9.09,-3.75,-3.04,-3.48,-17.58
Adlershof Ost,16091,6.32,2.33,9.19,21.18,-1.08,-0.5,0.45,-0.15
Spindlersfeld,2935,4.84,1.84,8.55,15.48,-0.87,-0.5,0.74,-0.89
Köllnische Vorstadt,7737,8.07,3.24,18.19,43.47,-3.48,-1.23,-1.08,-8.19
Dorf Altglienicke,12998,2.6,0.91,3.6,7.36,-0.67,-0.14,0.46,-0.76
Wohngebiet II,5667,10.14,4.46,23.86,53.75,-4.05,-1.53,0.17,-3.05
Kölner Viertel,8063,4.85,1.6,9.28,17.99,-0.92,-0.83,-0.11,-0.73
Bohnsdorf,12776,3.58,1.26,4.8,11.66,-0.5,-0.15,-0.44,-2.13
Grünau,6041,4,0.89,4.92,10.68,-0.38,-0.51,1.31,2.77
Karolinenhof,1799,2.05,0,1.28,0,-0.44,-0.86,-0.03,-1.96
Schmöckwitz/Rauchfangswerder,2475,2.48,0.76,3.35,8.2,-1.69,-0.43,0.59,2.4
