"SCHLUESSEL","PLANNAME","EW2016","STATUS1","STATUS2","STATUS3","STATUS4","DYNAMO1","DYNAMO2","DYNAMO3","DYNAMO4"
"02030401","Reichenberger Straße","15156",7.31,2.2,17.9,34.73,-1.46,-0.62,-0.74,-5.29
"02030402","Wrangelkiez","11083",7.47,2.17,17.37,30.93,-0.91,-0.72,-0.55,-7.33
"02040501","Barnimkiez","5381",7.66,2.95,13.03,35.02,-1.43,-0.19,-0.78,-8.66
"02040502","Friedenstraße","7181",5.92,1.66,9.72,26.22,-1.16,-0.47,-0.87,-4.7
"02040503","Richard-Sorge-Viertel","10976",4.87,1.29,7.76,16.21,-0.5,-0.18,0.37,0.88
"02040701","Andreasviertel","12331",5.9,1.69,13.86,40.5,-0.91,-0.39,0.02,-4.08
"02040702","Weberwiese","10714",5.22,1.48,6.48,10.63,-0.74,-0.02,-1.29,-3.78
"02040703","Wriezener Bahnhof/Entwicklungsgebiet","1145",7.24,0.76,23.41,66.67,-0.81,-1.88,0.83,9.52
"02050601","Hausburgviertel","8900",6.38,1.76,10.02,18.71,-1.03,-0.34,-0.25,-3.83
"02050602","Samariterviertel","21064",5.55,1.51,9.36,14.72,-1.65,-0.43,-0.68,-2.71
"02050801","Traveplatz","19093",6.27,1.74,12.04,23.65,-1.01,-0.3,0.06,-3.59
"02050802","Boxhagener Platz","20431",5,1.26,7.32,11.17,-0.97,-0.3,-0.6,-3.09
"02050803","Stralauer Kiez","6986",6.29,1.82,9.63,20.97,-0.77,-0.24,-1.57,-8.32
"02050804","Stralauer Halbinsel","4171",2.85,0.54,3.07,2.51,0.03,-0.16,-0.27,-1.63
"03010101","Bucher Forst","3928",5.64,2.17,9.11,16.05,-2.13,-0.36,-0.08,-0.29
"03010102","Buch","11685",7.92,3.1,16.49,41.03,-1.98,-0.84,0.06,-2.86
"03010104","Lietzengraben","227",NA,NA,NA,NA,NA,NA,NA,NA
"03020203","Blankenfelde","2116",4.77,1.54,3.83,7.51,-0.83,-1.07,0.4,-0.65
"03020209","Niederschönhausen","14726",3.39,1.02,4.8,6.69,-0.75,-0.39,-0.67,-1.74
"03020210","Herthaplatz","11132",3.85,1.45,6.28,11.01,-1.07,-0.33,0.44,1.54
"03020307","Buchholz","17930",3.25,1.14,5.84,10.69,-1.24,-0.43,-0.68,-2.07
"03030405","Karow Nord","10986",3.92,1.32,9.17,18.35,-1.08,-0.36,-0.32,-1.12
"03030406","Alt-Karow","8245",2.56,0.88,2.21,3.71,-0.48,-0.12,-0.12,-0.78
"03030711","Blankenburg","6810",2.34,0.78,2.13,3.27,-0.71,-0.35,-0.55,-0.99
"03030715","Heinersdorf","7388",4.35,1.2,5.54,9.58,0.39,-0.42,1.24,0.82
"03030716","Märchenland","1138",4.2,1.2,2.64,9.32,0.48,0.31,0.42,3.38
"03040508","Rosenthal","4530",2.43,0.94,4.75,9.7,-1.01,-0.33,-1.14,-2.31
"03040512","Wilhelmsruh","9783",3.31,0.99,4.95,8.94,-1.41,-0.79,-0.23,-0.68
"03040513","Schönholz","3412",3.03,1.26,3.55,3.28,-0.85,-0.23,0.63,0.84
"03040614","Pankow Zentrum","35308",4.68,1.59,7.07,11.23,-1.33,-0.48,-0.93,-2.89
"03040818","Pankow Süd","34314",5.13,1.83,8.22,15.21,-1.34,-0.29,-0.61,-3.17
"03050919","Gustav-Adolf-Straße","5564",6.65,1.86,10.23,21.25,0.43,-0.11,1.3,2.52
"03050920","Weißer See","7397",4.83,1.53,7.12,13.81,-1.13,-0.73,-1.13,-1.34
"03050923","Weißenseer Spitze","9098",5.93,2.16,9.23,14.39,-2.28,-1.27,-0.97,-3.03
"03050924","Behaimstraße","5883",7.69,2.59,12.29,20.47,-2.14,-0.93,0.94,0.1
"03050925","Komponistenviertel Weißensee","9468",5.24,1.65,8.87,13.69,-1.38,-0.74,-1.01,-2.67
"03051017","Rennbahnstraße","4247",5.89,1.63,9.8,19.38,-0.64,-0.54,-0.2,-2.06
"03051021","Buschallee","6503",7.53,2.75,10.98,31.12,-1.34,-0.64,0.14,1.17
"03051022","Hansastraße","4527",5.14,2.13,10.18,30.1,-1.18,-0.65,-0.93,-5.59
"03061126","Arnimplatz","15187",5.15,1.63,7.05,9.63,-1.04,-0.26,-0.44,-1.2
"03061131","Falkplatz","10521",4.87,1.39,5.15,5.81,-0.97,-0.29,-0.62,-1
"03061227","Humannplatz","14520",4.58,1.1,5.92,8.34,-1.48,-0.64,-0.99,-4.47
"03061228","Erich-Weinert-Straße","12619",6.04,2.22,9.23,19.88,-1.4,-0.25,-0.56,-4.02
"03061332","Helmholtzplatz","22519",5.14,1.44,6.47,8.07,-0.9,-0.45,-0.65,-1.88
"03061429","Greifswalder Straße","10082",8.25,3.19,11.47,39.22,-0.82,-0.63,0.34,0.74
"03061430","Volkspark Prenzlauer Berg","3921",7.99,4.24,10.74,17.11,-5.1,-0.48,-2.09,-13.03
"03061434","Anton-Saefkow-Park","6238",5.95,1.91,7.69,10.13,-1.08,-0.48,-1.4,-5.07
"03061435","Conrad-Blenkle-Straße","3875",6.52,2.23,11.87,29.42,-2.93,-1.29,-1.5,-4.45
"03061441","Eldenaer Straße","2560",2.32,0.31,1.09,0.69,0.21,-0.1,0.24,-0.05
"03071536","Teutoburger Platz","10747",4.04,1.29,4.83,7.46,-0.84,-0.14,-0.96,-2.25
"03071537","Kollwitzplatz","15635",4.25,1.24,4.74,6.05,-0.64,-0.24,-0.9,-1.74
"03071633","Thälmannpark","3010",7.55,2.84,13.39,21.98,-2.49,-0.58,-0.65,-2.14
"03071638","Winsstraße","17260",4.44,1.12,5.63,8.42,-0.9,-0.56,-0.52,-1.61
"03071639","Bötzowstraße","12367",4.25,1.21,5.34,6.43,-1.02,-0.35,-0.98,-1.29
"04010101","Jungfernheide","11043",9.84,3.88,19.81,45.55,-2.02,-1.08,-0.26,-10.88
"04010102","Plötzensee","895",5.76,1.97,12.29,45.83,-1.61,-0.74,4.13,4.92
"04010103","Paul-Hertz-Siedlung","7771",11.58,4.13,25.84,56.75,-0.06,-0.67,0.4,0.52
"04020204","Olympiagelände","199",NA,NA,NA,NA,NA,NA,NA,NA
"04020205","Siedlung Ruhleben","1329",2.53,0.48,2.41,5.42,-0.37,0.09,0.35,0.51
"04020206","Angerburger Allee","2754",3.73,1.16,5.27,17.56,-1.39,-0.72,-0.07,-1.9
"04020207","Flatowallee","2532",2.34,0.51,3.08,7.58,-0.83,-0.35,0.18,1.97
"04020208","Kranzallee","2878",2.18,0.81,3.37,3.54,-1.06,-0.35,-0.21,-1.28
"04020209","Eichkamp","3189",1.01,0.14,1.44,3.26,0.11,0.14,0.58,1.43
"04020310","Park Ruhwald","602",1.53,0.87,4.98,11.43,-0.63,-0.42,1.65,11.43
"04020311","Reichsstraße","14756",4.02,1.4,5.37,10.57,-0.55,-0.48,-0.19,-1.51
"04020312","Branitzer Platz","5467",3.48,1.06,6.13,9.64,-1.08,-0.41,1.24,2.04
"04020313","Königin-Elisabeth-Straße","7530",5.9,1.81,8.99,24.15,0.6,0.04,0.06,1.86
"04020314","Messegelände","436",NA,NA,NA,NA,NA,NA,NA,NA
"04030415","Schloßgarten","2837",9.17,4.08,19.03,43.35,-1.59,-0.39,-0.24,-5.9
"04030416","Klausenerplatz","10655",7.22,2.85,15.44,28.61,-0.68,-0.16,-1.08,-0.41
"04030417","Schloßstraße","10927",5.44,1.85,10.05,20.03,-0.26,-0.19,0.32,2.06
"04030518","Tegeler Weg","9417",7.49,2.62,13.57,34.54,-0.6,-0.44,-0.19,1.83
"04030519","Kaiserin-Augusta-Allee","5734",6.4,3.19,14.48,37.41,-1.8,0.01,-0.26,-6.56
"04030620","Alt-Lietzow","8597",5.69,2.2,11.67,26.67,-1.05,-0.45,-1,-2.77
"04030621","Spreestadt","3021",7.88,2.81,14.1,35.91,0.26,-0.53,-0.68,-0.55
"04030622","Richard-Wagner-Straße","10459",6.76,2.48,13.08,26.83,-1.25,-0.3,-0.95,-5.34
"04030623","Ernst-Reuter-Platz","4788",7.14,2.59,14.77,31.6,-0.73,-0.64,-0.33,-3.12
"04030724","Lietzensee","6416",5.13,2.1,8.39,14.54,-1.06,-0.32,-0.46,-4.15
"04030725","Amtsgerichtsplatz","12128",4.82,1.68,7.78,16.43,-1,-0.49,0.58,2.6
"04030726","Droysenstraße","5426",5.21,1.79,8.07,16.93,-0.79,-0.42,-0.05,-0.28
"04030827","Karl-August-Platz","12238",5.77,2.42,11.68,25.15,-1.23,-0.53,-0.38,-3.19
"04030828","Savignyplatz","9491",4.69,1.48,7.22,17.48,-0.6,-0.27,-0.82,-0.22
"04030929","Hindemithplatz","5981",4.33,1.5,6.42,8.28,-0.16,-0.28,-0.43,-2.37
"04030930","George-Grosz-Platz","5600",4.21,1.21,5.95,8.55,0.35,-0.51,0.14,-2.3
"04030931","Breitscheidplatz","3915",4.73,1.28,8.58,16.86,-0.55,-0.61,0.42,1.43
"04031032","Halensee","14931",4.88,1.82,7.79,16.18,-1,-0.57,-0.41,0.23
"04041133","Güterbahnhof Grunewald","43",NA,NA,NA,NA,NA,NA,NA,NA
"04041134","Bismarckallee","5156",3.47,1.05,6.26,10,-0.66,-0.53,0.26,1.01
"04041135","Hundekehle","2739",1.77,0.34,2.81,2.55,-0.71,-0.46,0.57,-0.27
"04041136","Hagenplatz","3033",3.15,1.01,3.49,6,1.06,0.39,0.82,2.32
"04041137","Flinsberger Platz","7976",4.95,1.98,7.9,18.37,-0.58,-0.27,-0.49,-0.98
"04041238","Kissinger Straße","5907",4.52,1.61,6.33,13.25,-0.07,-0.39,-0.3,-0.65
"04041239","Stadion Wilmersdorf","213",NA,NA,NA,NA,NA,NA,NA,NA
"04041240","Messelpark","1533",2.06,0.48,1.5,2.26,-0.26,0.12,0.66,0.71
"04041241","Breite Straße","6904",3.04,1.01,4.4,5.5,-0.31,-0.5,0.25,1.17
"04041342","Schlangenbader Straße","4115",6.33,3.01,10.43,17.51,0.64,0.49,1.09,-3.82
"04041343","Binger Straße","3547",4.4,1.55,6.48,10.96,-0.53,-0.32,-0.13,-0.24
"04041344","Rüdesheimer Platz","10642",3.89,1.31,5.92,9.52,-0.59,-0.36,-0.26,-2.78
"04051445","Eisenzahnstraße","6220",6.23,2.17,10.87,26.97,-1.09,-0.59,0.34,0.74
"04051446","Preußenpark","10591",4.52,1.69,7.07,12.75,-0.45,-0.35,-0.44,-2.67
"04051447","Ludwigkirchplatz","5228",5.7,1.94,7.82,15.26,-0.91,-0.46,-0.93,-3.83
"04051448","Schaperstraße","9067",5.47,2.34,8.43,20.42,-0.68,-0.31,0.61,1.99
"04051549","Rathaus Wilmersdorf","5348",5.1,2.13,8.92,14.42,-1.74,-0.81,-0.92,-6.39
"04051550","Leon-Jessel-Platz","5512",5.05,1.85,8.65,18.47,-0.98,-0.5,-1.08,-3.79
"04051551","Brabanter Platz","4397",5.35,1.96,9.76,22.53,-0.57,-0.38,-1.16,-0.87
"04051652","Nikolsburger Platz","9700",4.43,1.5,7.43,12.49,-0.68,-0.51,0.33,0.5
"04051653","Prager Platz","6684",5.39,1.86,7.12,12.19,-1,-0.41,-0.78,-1.68
"04051654","Wilhelmsaue","3038",5.95,1.69,6.02,7.56,0.2,-0.7,-0.98,-1.98
"04051655","Babelsberger Straße","7063",5.8,2.52,10.56,19.76,-0.64,0.31,0.25,0.72
"04051656","Hildegardstraße","7568",4.31,1.38,6.55,12.18,-0.8,-0.43,-0.5,-1.6
"04061757","Forst Grunewald","83",NA,NA,NA,NA,NA,NA,NA,NA
"05010101","Hakenfelde Nord","10883",5.48,1.8,10.44,26,-0.64,-0.13,-1.21,-2.91
"05010102","Goltzstraße","5885",8.59,3.07,14.07,41.1,0.36,0.39,0.3,-0.37
"05010103","Amorbacher Weg","7623",5.84,2.18,8.58,19.26,-0.11,-0.08,0.08,-1.26
"05010204","Griesingerstraße","3297",11.9,3.53,24.75,57.53,-0.46,-0.32,-0.43,-3.31
"05010205","An der Tränke","1910",3.18,1.38,3.46,8.5,0.2,0.26,-0.06,-2.99
"05010206","Gütersloher Weg","10246",10.63,4.09,19.9,46.92,-0.66,0.06,0.4,-0.9
"05010207","Darbystraße","11492",11.54,4.2,27.53,56.08,-1.22,-0.15,-0.87,-2.37
"05010208","Germersheimer Platz","7627",12.11,4.54,23.53,57.87,-0.08,0.31,0.2,-0.84
"05010209","An der Kappe","6098",5.49,1.46,9.38,25.7,-0.2,-0.37,0.27,1.92
"05010310","Eckschanze","3880",10.88,3.6,20.21,44.71,-0.04,0.09,-0.8,-6.82
"05010311","Eiswerder","5670",11.24,4.43,24.13,53.53,0.53,0.21,-0.09,-4.15
"05010312","Kurstraße","7117",12.2,4.5,28.03,60.86,-0.63,0.08,-1.23,-1.84
"05010313","Ackerstraße","6704",10.09,3.74,20.66,47.24,-1.06,-0.73,-0.15,-3.61
"05010314","Carl-Schurz-Straße","11968",9.07,3.18,18.37,41.87,-1.23,-0.47,-1.43,-6.2
"05010339","Freiheit","974",9.35,2.42,16.74,29.26,-2.54,-3.07,8.7,4.26
"05020415","Isenburger Weg","3885",2.31,0.74,2.21,5.11,0.09,0.22,0.32,1.07
"05020416","Am Heideberg","1709",4.89,1.63,6.44,18.18,-0.64,0.32,-1.17,-2.23
"05020417","Staakener Straße","5847",4.11,1.34,6.69,15.7,-0.68,-0.32,0.94,1.92
"05020418","Spandauer Straße","4010",6.55,2.26,9.2,17.69,-0.28,0.09,0.87,3.69
"05020419","Magistratsweg","7032",11.45,3.68,20.78,57.13,-0.84,-0.51,1.39,2.52
"05020420","Werkstraße","929",4.17,1.49,5.27,6.29,0.24,0.62,-0.32,-5.07
"05020521","Döberitzer Weg","3095",2.92,0.38,4.33,7.63,-0.5,-0.51,-0.57,-1.72
"05020522","Pillnitzer Weg","7364",13.26,4.51,31.14,64.58,0.2,-0.09,0.68,-0.31
"05020523","Maulbeerallee","12413",16.04,5.99,38.51,72.47,0.32,0.16,-0.65,-2.05
"05020524","Weinmeisterhornweg","6134",4.71,1.86,6.44,17.99,-0.13,-0.05,0.59,3.27
"05020625","Borkumer Straße","7482",8.28,2.96,15.46,45.63,-0.68,0.4,0,1.41
"05020626","Adamstraße","19359",8.36,3.2,16.2,37.58,-1.67,-0.31,-1.32,-5.88
"05020627","Tiefwerder","4059",10.08,3.68,23.21,56.34,0.09,0.08,0.48,2.02
"05020628","Graetschelsteig","1984",7.42,2.19,11.84,33.51,-1.06,-1.52,-0.75,-7.93
"05020629","Börnicker Straße","4413",3.6,0.88,3.38,7.84,-0.37,-0.24,0.42,4.39
"05030730","Zitadellenweg","3938",4.78,1.66,11.3,21.09,-0.58,-0.01,-0.96,-1.23
"05030731","Gartenfelder Straße","11622",10.15,3.5,21.31,52.44,-0.65,-0.33,0.25,-1.08
"05030832","Rohrdamm","11692",8.37,2.78,17.58,43.17,-0.31,-0.1,-0.29,-0.44
"05030833","Motardstraße","1545",4.81,0.45,10.55,16.61,3.05,-0.04,7,11.45
"05040934","Alt-Gatow","3965",2.76,0.43,4.82,11.93,0.85,-0.2,2.58,8.27
"05040935","Groß-Glienicker Weg","415",8.54,3.56,5.78,10.2,-0.78,1.05,-0.92,1.87
"05040936","Jägerallee","9855",2.33,0.57,2.09,3.68,-0.08,-0.09,0.41,0.91
"05040937","Kladower Damm","2151",1.75,0.61,1.81,2.89,-0.18,-0.09,0.7,0.85
"05040938","Kafkastraße","3670",2.32,0.77,2.43,5.7,-0.5,0.04,-0.38,-3.87
"06010101","Fichtenberg","6829",2.83,0.82,3.12,5.41,-0.22,-0.33,-0.36,-1.11
"06010102","Schloßstraße","8788",4.68,1.68,7.58,16.84,-0.99,-0.48,-0.43,-1.73
"06010103","Markelstraße","6300",3.97,1.08,6.43,11.62,-1.76,-0.95,-0.19,-3.65
"06010204","Munsterdamm","6914",5.64,1.76,9.86,20.58,-1.53,-1.07,-0.41,-4.6
"06010205","Südende","9560",5.28,2.04,8.88,19.88,-1.21,-0.23,-0.41,-1.08
"06010206","Stadtpark","7685",5.71,1.66,8.93,19.37,-0.46,-0.8,0.57,-1.4
"06010207","Mittelstraße","7771",5.38,2.21,8.81,20.27,-0.9,-0.01,0.15,-1.6
"06010208","Bergstraße","6798",5.5,1.9,8.27,16.62,-0.59,-0.1,-0.64,-0.83
"06010209","Feuerbachstraße","9026",4.95,1.68,8.5,16.82,-1.12,-0.54,-0.46,-4.36
"06010210","Bismarckstraße","4874",5.59,2.43,9.58,18.61,-1.1,-0.11,-0.16,-3.42
"06020301","Alt-Lankwitz","4994",4.37,1.89,8.33,16.81,-2.09,-0.74,-1.32,-1.81
"06020302","Komponistenviertel Lankwitz","5542",4.14,1.4,5.07,11.36,-1.06,-0.43,-0.35,-3.45
"06020303","Lankwitz Kirche","7395",7.26,2.82,11.7,27.99,-1.12,-0.56,-0.25,-2.86
"06020304","Kaiser-Wilhelm-Straße","6744",6.42,2.67,10.65,24.3,-0.93,-0.21,-0.19,-2.69
"06020305","Gemeindepark Lankwitz","11433",6.52,2.53,12.69,28.82,-1.09,-0.37,-0.33,-4.18
"06020306","Lankwitz Süd","6450",3.68,1.12,5.95,15.83,-0.61,-0.51,0.44,1.29
"06020407","Thermometersiedlung","4593",10.52,4.58,22.38,58,-0.12,0.3,1.55,-2.73
"06020408","Lichterfelde Süd","6827",6.22,2.26,10.39,25,-0.6,-0.33,0.55,-2.13
"06020409","Königsberger Straße","8200",4.94,1.53,7.09,16.19,-0.55,-0.55,1.22,2.03
"06020410","Oberhofer Platz","7119",3.58,1.17,4.47,10.15,-0.27,-0.27,0.44,3.29
"06020411","Schütte-Lanz-Straße","8494",4.02,1.57,6.58,16.26,-0.18,-0.52,0.87,3.68
"06030501","Berlepschstraße","5898",3.5,0.86,4.27,9.69,0.02,-0.18,0.28,-0.37
"06030502","Zehlendorf Süd","5555",4.7,1.65,9.38,20.87,-1.62,-0.63,0.81,-2.8
"06030503","Zehlendorf Mitte","11600",3.52,1.01,5.29,9.67,-1.04,-0.63,-1.03,-4.49
"06030504","Teltower Damm","11122",2.46,0.69,2.78,5.27,-0.53,-0.04,-0.24,-1
"06030605","Botanischer Garten","6935",4.05,1.56,5.22,9.88,-1.27,-0.66,-0.52,-4.5
"06030606","Hindenburgdamm","5223",5.46,2.32,8.46,17.24,-1.16,-0.42,0.27,-0.8
"06030607","Goerzwerke","3020",2.53,0.84,4.01,8.76,-0.62,-0.18,0.37,-2.39
"06030608","Schweizer Viertel","13113",2.78,0.72,2.71,3.03,-0.37,-0.39,0.61,0.69
"06030609","Augustaplatz","12047",4.44,1.63,5.86,12.65,-0.74,-0.23,0.46,-0.51
"06030610","Lichterfelde West","8103",2.96,1.02,3.13,5.46,-0.1,-0.16,-0.09,0.42
"06040701","Wannsee","10113",2.41,0.76,2.18,2.63,-0.53,-0.05,-0.08,-1.06
"06040702","Düppel","5292",2.45,0.63,3.27,3.32,-0.13,-0.15,-0.03,-0.09
"06040703","Nikolassee","10851",2.48,0.63,2.7,4.09,-0.34,-0.25,0.18,0.23
"06040804","Krumme Lanke","7585",2.15,0.57,1.65,1.73,-0.41,-0.3,0.12,-0.52
"06040805","Fischerhüttenstraße","5405",2.52,0.9,3.46,5.22,-0.51,-0.06,0.43,0.12
"06040806","Fischtal","7299",2.94,0.62,2.69,4.47,-0.18,-0.5,0.06,0.88
"06040807","Zehlendorf Eiche","5770",3.34,1.17,4.59,7.74,-0.62,-0.09,0.26,1.6
"06040808","Hüttenweg","4592",2.57,0.43,2.57,4.23,0.26,-0.07,0.55,1.2
"06040809","Thielallee","5136",1.91,0.48,1.4,1.46,0.49,0.28,-0.19,-0.38
"06040810","Dahlem","7091",2.1,0.37,1.65,2.19,0.42,-0.17,0.75,1.14
"07010101","Wittenbergplatz/Viktoria-Luise-Platz","10130",5.78,2,10.56,14.91,-0.81,-0.4,-0.44,-4.46
"07010102","Nollendorfplatz","15907",7.78,2.64,20.24,44,-0.98,-0.63,0.47,0.78
"07010103","Barbarossaplatz","10257",5.76,1.98,9.38,18.33,0.1,0.13,-0.67,-0.38
"07010104","Dennewitzplatz","13701",8.47,3.09,22.53,43.32,-1.48,-0.81,-0.81,-4.63
"07020201","Bayerischer Platz","10496",5.17,1.65,8.66,16.71,-1.22,-0.39,0.07,-1.55
"07020202","Volkspark (Rudolf-Wilde-Park)","10237",6.97,2.34,13.12,29.45,-0.39,0.03,1.22,1.92
"07020203","Kaiser-Wilhelm-Platz","17768",6.43,2.2,14.28,27.29,-1.35,-0.64,-0.46,-2.17
"07020204","Schöneberger Insel","11779",5.83,2.01,10.76,19.92,-1.76,-0.34,-1.2,-6.75
"07030301","Friedenau","24695",3.5,1.05,5.19,8.16,-0.62,-0.2,-0.25,-1.15
"07030302","Ceciliengärten","9351",4.13,1.15,6.3,10.92,-0.75,-0.52,-0.67,-0.88
"07030303","Grazer Platz","12334",7.2,2.68,14.05,30.13,-0.61,-0.34,-1.27,-3.1
"07040401","Neu-Tempelhof","18419",6.22,2.04,11.54,21.96,-0.98,-0.39,-0.67,-2.26
