"SCHLUESSEL","PLANNAME","EW2016","STATUS1","STATUS2","STATUS3","STATUS4","DYNAMO1","DYNAMO2","DYNAMO3","DYNAMO4"
"01011101","Stülerstraße","3114",4.98,1.52,8.16,20.51,-0.19,0.14,-0.42,-0.75
"01011102","Großer Tiergarten","192",NA,NA,NA,NA,NA,NA,NA,NA
"01011103","Lützowstraße","5518",6.83,2.08,17.74,34.33,-0.5,-0.03,-0.8,-7.74
"01011104","Körnerstraße","4704",6.27,1.49,20.66,45.91,-1.33,-0.76,-1.66,-3.77
"01011105","Nördlicher Landwehrkanal","1135",2.06,0,1.5,3.55,-0.77,-0.74,-0.42,-0.71
"01011201","Wilhelmstraße","2190",3.64,0.89,8.45,27.31,-1.23,-0.59,0.13,0.17
"01011202","Unter den Linden Nord","608",1.97,0,1.81,6.67,-0.13,0,0.2,0.54
"01011203","Unter den Linden Süd","1004",3.98,1.46,3.59,10.34,0.85,0.27,0.26,0.77
"01011204","Leipziger Straße","7463",3.91,1.61,7.2,21.34,-1.13,0.27,0.21,-4.57
"01011301","Charitéviertel","6431",2.57,0.39,3.23,5.06,-0.56,-0.33,-0.05,0.3
"01011302","Oranienburger Straße","12535",3.99,0.91,6.11,11.24,-0.61,-0.14,-0.47,-1.01
"01011303","Alexanderplatzviertel","9536",5.18,1.41,8.62,20.49,-0.85,-0.33,-0.76,-1.91
"01011304","Karl-Marx-Allee","8607",6.4,1.74,13.56,42.32,-0.52,-0.83,0.23,2.17
"01011305","Heine-Viertel West","7617",4.54,1.01,7.19,20.3,-0.25,-0.26,-0.41,-4.7
"01011306","Heine-Viertel Ost","9530",5.04,1.26,8.21,21.77,-1.33,-0.35,-0.68,-5.6
"01011401","Invalidenstraße","16331",3.45,0.73,4.75,7.27,-0.7,-0.18,-0.53,-1.13
"01011402","Arkonaplatz","13341",3.57,0.7,3.33,3.96,-0.63,-0.11,-0.82,-1.24
"01022101","Huttenkiez","3522",12.8,3.29,27.29,68.17,2.03,-0.68,3.83,3.87
"01022102","Beusselkiez","6374",10.85,3.84,24.65,57.12,-0.74,0.14,-0.28,-3.1
"01022103","Westhafen","258",NA,NA,NA,NA,NA,NA,NA,NA
"01022104","Emdener Straße","18377",7.79,2.6,18.49,43.62,-1.82,-0.64,-0.83,-5.41
"01022105","Zwinglistraße","5299",8.87,2.23,23.87,58.13,-0.65,-0.53,-1.4,-7.59
"01022106","Elberfelder Straße","11799",4.87,1.3,9.56,16.25,-2.01,-0.38,-1.25,-4.02
"01022201","Stephankiez","11292",6.41,1.67,17.32,36.44,-1.55,-0.54,-0.82,-5.85
"01022202","Heidestraße","1488",10.32,3.34,28.9,51.56,-2.32,0.04,0.24,0.62
"01022203","Lübecker Straße","6969",9.28,2.62,26.2,54.53,-0.99,-0.39,0.3,-1.15
"01022204","Thomasiusstraße","5824",5.56,1.34,11.23,20.84,-1.1,-0.43,-0.15,-0.51
"01022205","Zillesiedlung","3311",9.43,2.68,25.04,37.46,0.36,0.27,-0.38,-8.44
"01022206","Lüneburger Straße","3027",5.2,1.09,11.03,18.54,-1.24,-0.36,-2.17,-7.1
"01022207","Hansaviertel","5630",3.48,0.97,8.45,17.6,-1.93,-0.56,-1.24,-7.74
"01033101","Soldiner Straße","26841",10.65,3.16,32.68,68.8,-1.99,-1.03,0.28,-0.43
"01033102","Gesundbrunnen","11837",9.14,2.47,29.18,64.27,-1.49,-0.44,0.33,-0.02
"01033201","Brunnenstraße","13361",9.83,2.82,31.67,58.6,-1.3,-0.78,-1.76,-4.64
"01033202","Humboldthain Süd","9726",8.84,2.45,23.97,50.97,-1.26,-0.51,-0.14,-4.02
"01033203","Humboldthain Nordwest","14478",10.56,3.33,31.9,68.81,-1.87,-0.27,-0.12,-1.02
"01044101","Rehberge","20722",8.68,2.93,21.07,52.69,-1.69,-0.69,-0.11,-1.44
