unit,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,Y_GE15,F,DE93	8.9 	7.8 	6.3 	5.4 	5.9 b	5.7 b	4.6 	3.9 	3.6 	3.1 	3.2 	3.0 
PC,Y_GE15,F,DE94	9.5 	7.4 	6.6 	5.8 	5.0 b	4.2 b	3.9 	3.8 	3.6 	4.1 	3.0 	2.6 
PC,Y_GE15,F,DEA1	8.8 	7.8 	7.1 	6.8 	6.5 b	5.7 b	5.7 	5.3 	5.7 	5.1 	3.9 	3.4 
PC,Y_GE15,F,DEA2	8.8 	7.7 	6.9 	6.6 	6.6 b	5.4 b	4.7 	5.1 	4.7 	4.2 	3.3 	3.0 
PC,Y_GE15,F,DEA3	8.7 	7.0 	6.1 	6.5 	5.8 b	4.6 b	4.4 	4.7 	4.1 	3.9 	3.7 	3.1 
PC,Y_GE15,F,DEA4	9.4 	7.9 	7.5 	7.0 	6.1 b	5.4 b	4.6 	4.8 	4.8 	4.2 	3.4 	3.3 
PC,Y_GE15,F,DEA5	10.9 	10.0 	8.8 	8.4 	6.9 b	6.1 b	6.1 	5.7 	5.1 	4.8 	4.3 	3.8 
PC,Y_GE15,F,DEB1	7.8 	6.4 	6.6 	6.5 	5.1 b	4.7 b	3.9 	3.8 	3.8 	3.5 	3.1 	2.7 
PC,Y_GE15,F,DEB2	6.8 	6.3 	5.3 	4.4 	: bu	4.4 b	: u	: u	: u	: u	: u	: u
PC,Y_GE15,F,DEB3	8.5 	5.8 	5.5 	5.5 	5.8 b	5.3 b	4.6 	4.3 	3.7 	3.5 	3.6 	3.4 
PC,Y_GE15,F,DEC0	8.9 	7.1 	6.9 	8.4 	6.1 b	5.4 b	6.3 	5.4 	5.5 	4.4 	4.1 	3.5 
PC,Y_GE15,F,DED2	16.6 	13.4 	11.7 	11.5 	9.7 b	7.9 b	7.5 	6.9 	7.2 	5.4 	4.2 	4.1 
PC,Y_GE15,F,DED4	18.1 	15.7 	13.6 	13.0 	11.2 b	8.9 b	8.2 	8.2 	6.5 	5.1 	4.6 	4.5 
PC,Y_GE15,F,DED5	15.5 	17.0 	13.1 	12.4 	11.2 b	11.0 b	8.9 	8.6 	7.4 	6.7 	5.7 	4.6 
