"sex","nuts","year","unempl_pct"
"T","CZ06",2006,7.1
"T","CZ07",2006,7.6
"T","CZ08",2006,12
"T","DE11",2006,6.5
"T","DE12",2006,7.2
"T","DE13",2006,5.5
"T","DE14",2006,5.9
"T","DE21",2006,5.3
"T","DE22",2006,6.6
"T","DE23",2006,6.8
"T","DE24",2006,9.6
"T","DE25",2006,7.9
"T","DE26",2006,6.3
"T","DE27",2006,6.2
"T","DE30",2006,18.7
"T","DE40",2006,16.6
"T","DE50",2006,14.4
"T","DE60",2006,9.9
"T","DE71",2006,7.9
"T","DE72",2006,8.5
"T","DE73",2006,8.5
"T","DE80",2006,19.2
"T","DE91",2006,10.1
"T","DE92",2006,10.5
"T","DE93",2006,9
"T","DE94",2006,9.3
"T","DEA1",2006,9.8
"T","DEA2",2006,9.1
"T","DEA3",2006,9.1
"T","DEA4",2006,10
"T","DEA5",2006,11.1
"T","DEB1",2006,7.8
"T","DEB2",2006,6.2
"T","DEB3",2006,8.7
"T","DEC0",2006,9.5
"T","DED2",2006,16.2
"T","DED4",2006,16.5
"T","DED5",2006,17.8
"T","DEE0",2006,17.8
"T","DEF0",2006,9.1
"T","DEG0",2006,15.7
"T","DK01",2006,NA
"T","DK02",2006,NA
"T","DK03",2006,NA
"T","DK04",2006,NA
"T","DK05",2006,NA
"T","EE00",2006,5.9
"T","EL30",2006,8.5
"T","EL41",2006,9.6
"T","EL42",2006,9
"T","EL43",2006,7.2
"T","EL51",2006,11.1
"T","EL52",2006,9.5
"T","EL53",2006,14.2
"T","EL54",2006,9.8
"T","EL61",2006,8.2
"T","EL62",2006,11.2
"T","EL63",2006,9.7
"T","EL64",2006,9.2
"T","EL65",2006,7.5
"T","ES11",2006,8.3
"T","ES12",2006,9.2
"T","ES13",2006,6.5
"T","ES21",2006,7.2
"T","ES22",2006,5.4
"T","ES23",2006,6.1
"T","ES24",2006,5.5
"T","ES30",2006,6.3
"T","ES41",2006,8.1
"T","ES42",2006,8.8
"T","ES43",2006,13.3
"T","ES51",2006,6.5
"T","ES52",2006,8.3
"T","ES53",2006,6.4
"T","ES61",2006,12.6
"T","ES62",2006,7.9
"T","ES63",2006,21.5
"T","ES64",2006,13.6
"T","ES70",2006,11.6
"T","FI19",2006,7.8
"T","FI1B",2006,5.4
"T","FI1C",2006,7.7
"T","FI1D",2006,10.8
"T","FI20",2006,NA
"T","FR10",2006,8.5
"T","FRB0",2006,6.9
"T","FRC1",2006,8.4
"T","FRC2",2006,7.6
"T","FRD1",2006,7.2
"T","FRD2",2006,8.8
"T","FRE1",2006,12
"T","FRE2",2006,10.2
"T","FRF1",2006,6.4
"T","FRF2",2006,6.8
"T","FRF3",2006,9.5
"T","FRG0",2006,6.9
"T","FRH0",2006,7.3
"T","FRI1",2006,7.5
"T","FRI2",2006,5.8
"T","FRI3",2006,7.7
"T","FRJ1",2006,10.9
"T","FRJ2",2006,7.9
"T","FRK1",2006,7.3
"T","FRK2",2006,7.3
"T","FRL0",2006,11
"T","FRM0",2006,10.7
"T","FRY1",2006,26.9
"T","FRY2",2006,24.1
"T","FRY3",2006,28.5
"T","FRY4",2006,28.3
"T","FRY5",2006,NA
"T","HR03",2006,NA
"T","HR04",2006,NA
"T","HU10",2006,5.1
"T","HU11",2006,NA
"T","HU12",2006,NA
"T","HU21",2006,6
"T","HU22",2006,5.8
"T","HU23",2006,9.2
"T","HU31",2006,10.9
"T","HU32",2006,10.9
"T","HU33",2006,8
"T","IE01",2006,4.7
"T","IE02",2006,4.3
"T","IE04",2006,NA
"T","IE05",2006,NA
"T","IE06",2006,NA
"T","IS00",2006,2.8
"T","ITC1",2006,4.1
"T","ITC2",2006,2.9
"T","ITC3",2006,4.8
"T","ITC4",2006,3.7
"T","ITF1",2006,6.6
"T","ITF2",2006,9.9
"T","ITF3",2006,12.8
"T","ITF4",2006,12.6
"T","ITF5",2006,10.6
"T","ITF6",2006,12.8
"T","ITG1",2006,13.4
"T","ITG2",2006,10.7
"T","ITH1",2006,2.6
"T","ITH2",2006,3.1
"T","ITH3",2006,4.1
"T","ITH4",2006,3.5
"T","ITH5",2006,3.4
"T","ITI1",2006,4.8
"T","ITI2",2006,5.1
"T","ITI3",2006,4.6
"T","ITI4",2006,7.5
"T","LT00",2006,5.8
"T","LT01",2006,NA
"T","LT02",2006,NA
"T","LU00",2006,4.7
"T","LV00",2006,7
"T","ME00",2006,NA
"T","MK00",2006,36
"T","MT00",2006,6.8
"T","NL11",2006,7.2
"T","NL12",2006,5.3
"T","NL13",2006,6.2
"T","NL21",2006,5.2
"T","NL22",2006,4
"T","NL23",2006,6.5
"T","NL31",2006,4.4
"T","NL32",2006,5
"T","NL33",2006,5.4
"T","NL34",2006,4
"T","NL41",2006,4.3
"T","NL42",2006,5.8
"T","NO01",2006,3.5
"T","NO02",2006,3.1
"T","NO03",2006,4
"T","NO04",2006,2.9
"T","NO05",2006,2.8
"T","NO06",2006,3.6
"T","NO07",2006,3.8
"T","PL21",2006,12.6
"T","PL22",2006,14.2
"T","PL41",2006,12.7
"T","PL42",2006,17.2
"T","PL43",2006,14
